ENSG00000280916	FOXCUT
ENSG00000054598	FOXC1
ENSG00000173467	AGR3
ENSG00000203688	LINC02487
ENSG00000129514	FOXA1
ENSG00000154548	SRSF12
ENSG00000115648	MLPH
ENSG00000150667	FSIP1
ENSG00000091831	ESR1
ENSG00000139865	TTC6
ENSG00000198729	PPP1R14C
ENSG00000005513	SOX8
ENSG00000248360	LINC00504
ENSG00000148468	FAM171A1
ENSG00000163064	EN1
ENSG00000100219	XBP1
ENSG00000156219	ART3
ENSG00000120262	CCDC170
ENSG00000074410	CA12
ENSG00000106541	AGR2
ENSG00000171428	NAT1
ENSG00000167614	TTYH1
ENSG00000164106	SCRG1
ENSG00000182175	RGMA
